show_id,genres
33238,Comedy
33238,Reality
32415,Talk
32415,Comedy
32415,News
37757,Reality
75685,Reality
33847,Talk
250253,Drama
250253,Soap
32798,Crime
32798,Drama
32798,Action & Adventure
1402,Action & Adventure
1402,Drama
1402,Sci-Fi & Fantasy
33384,
31132,Animation
31132,Comedy
64488,
58581,Documentary
73870,Family
73870,Talk
51038,Comedy
51038,Talk
33581,Mystery
33581,Drama
33581,Soap
31917,Drama
31917,Mystery
32692,Crime
32692,Drama
32390,Reality
32651,Comedy
46296,Drama
124864,Talk
124864,Documentary
31991,Action & Adventure
31991,Drama
214252,Comedy
66774,Comedy
35331,Kids
35331,News
61308,Talk
15260,Animation
15260,Comedy
15260,Sci-Fi & Fantasy
46182,Soap
209068,Soap
155256,Animation
155256,Kids
155256,Comedy
155256,Sci-Fi & Fantasy
155256,Action & Adventure
42042,Animation
42042,Family
42042,Kids
42042,Comedy
83896,Soap
83896,Drama
83896,Family
84548,Talk
50829,Soap
50829,Drama
94226,
33765,Animation
33765,Comedy
33765,Sci-Fi & Fantasy
33765,Kids
46222,Drama
32778,Drama
60006,Reality
15842,Drama
18059,Drama
229586,Drama
45817,Soap
52698,Comedy
52698,Family
52698,Drama
33761,Soap
94502,Soap
94502,Comedy
94502,Drama
33907,Drama
30745,Reality
46571,
199332,Reality
52880,Drama
93686,Reality
33955,Animation
32348,Comedy
85796,Talk
32864,
83893,Drama
66219,Animation
66219,Kids
66219,Comedy
34035,Mystery
34035,Soap
34035,Drama
34035,Crime
51497,
38409,Reality
34284,Reality
37811,Kids
37811,Mystery
37811,Action & Adventure
33018,Sci-Fi & Fantasy
33018,Drama
33018,Action & Adventure
18604,Drama
34634,Reality
19885,Crime
19885,Drama
19885,Mystery
61302,Reality
34045,Reality
34045,Drama
34045,Family
33217,Animation
33217,Sci-Fi & Fantasy
33217,Action & Adventure
21756,Comedy
34384,Drama
34384,Comedy
31109,Animation
31109,Action & Adventure
31109,Sci-Fi & Fantasy
31109,Kids
32895,Crime
32895,Drama
32895,Mystery
32213,Comedy
32213,Soap
46145,Soap
46145,Drama
46145,Family
32780,Drama
32780,Soap
50018,Soap
50018,Drama
35351,Drama
35351,Comedy
46587,
40290,Reality
67033,Comedy
38824,Soap
77285,Documentary
55270,Drama
55270,Crime
55270,Mystery
32608,Documentary
32608,Mystery
32608,Sci-Fi & Fantasy
32294,Comedy
33843,Sci-Fi & Fantasy
33843,Drama
33843,Comedy
18123,Animation
18123,Mystery
18123,Family
40440,Drama
32683,Sci-Fi & Fantasy
32683,Drama
32683,Comedy
41827,Soap
41827,Drama
40297,
32762,Drama
32762,Soap
32762,Documentary
32612,Comedy
34522,Drama
34522,Crime
34522,Mystery
118074,Drama
1436,Crime
1436,Drama
41064,Crime
21641,Comedy
21641,Family
21641,Kids
38965,Family
38965,Kids
38965,Animation
37743,Drama
47918,Drama
75426,Action & Adventure
75426,Crime
75426,Drama
75426,Family
75426,Mystery
75426,Soap
111097,Comedy
111097,Drama
31251,Comedy
31251,Kids
32868,Drama
32868,Action & Adventure
21762,Drama
32573,Drama
32573,Action & Adventure
46967,Drama
12926,Soap
12926,Drama
225353,Animation
225353,Action & Adventure
225353,Sci-Fi & Fantasy
225353,Drama
37374,Reality
33213,Family
33213,Kids
33213,Comedy
33213,Drama
44632,Drama
44632,Family
195102,
33982,Reality
17572,Animation
17572,Action & Adventure
17572,Comedy
17572,Kids
39176,Drama
39176,War & Politics
39176,Action & Adventure
39176,Crime
34278,Soap
34278,Sci-Fi & Fantasy
34278,Drama
36473,Comedy
33001,Drama
33001,Sci-Fi & Fantasy
33001,Mystery
32082,Drama
32082,Comedy
32082,Family
33359,Drama
97918,Soap
97918,Drama
33903,Drama
35455,Comedy
35455,Drama
86232,Drama
32905,Family
32905,Comedy
33326,Drama
33326,Soap
91337,Soap
91337,Drama
32900,Documentary
18828,Animation
18828,Comedy
18828,Action & Adventure
18828,Sci-Fi & Fantasy
201967,Animation
201967,Kids
201967,Family
201967,Action & Adventure
33793,Animation
33793,Kids
33793,Family
33623,Action & Adventure
33623,Animation
33623,Sci-Fi & Fantasy
33623,Family
40361,Drama
78201,Documentary
32218,Drama
207543,Comedy
44330,Drama
31484,Sci-Fi & Fantasy
31484,Drama
34413,Drama
34413,Family
34549,Reality
40334,Drama
32025,Reality
45436,
39056,Drama
32566,Mystery
32566,Drama
32566,Soap
33740,Drama
33740,Soap
39952,Family
39952,Comedy
39952,Animation
32731,Sci-Fi & Fantasy
32731,Drama
32731,Action & Adventure
69360,Action & Adventure
69360,Documentary
37472,Kids
37472,Animation
37472,Action & Adventure
46440,Animation
46440,Comedy
46440,Action & Adventure
62537,Drama
62537,Comedy
93116,Drama
33180,Soap
33180,Mystery
33180,Crime
195748,Animation
31553,Drama
46142,Drama
46142,Soap
46142,Sci-Fi & Fantasy
43594,Drama
5573,Drama
5573,Comedy
56435,Drama
56435,Soap
56435,Family
34019,Drama
34019,Family
136074,Animation
136074,Action & Adventure
136074,Comedy
46005,Comedy
1621,Crime
1621,Drama
31474,Action & Adventure
31474,Drama
33841,Family
33841,Drama
39501,Animation
39501,Comedy
39501,Kids
31642,Drama
48310,Comedy
48310,Drama
34271,Drama
34271,Comedy
34271,Sci-Fi & Fantasy
34258,Drama
37734,
81146,Action & Adventure
81146,Crime
81146,Drama
32894,Drama
32894,Comedy
32993,Sci-Fi & Fantasy
32993,Drama
32993,Action & Adventure
34561,Drama
34561,Comedy
35316,Comedy
32412,Family
90352,
62824,Comedy
33473,Animation
33473,Kids
31843,Action & Adventure
31843,Drama
31843,Sci-Fi & Fantasy
40367,Comedy
40367,Reality
91031,Reality
33745,Sci-Fi & Fantasy
33745,Drama
38831,Reality
32910,Action & Adventure
32910,Animation
32910,Kids
62567,
32994,Reality
251432,Drama
31628,Action & Adventure
31628,Comedy
31628,Sci-Fi & Fantasy
31628,Family
33049,Drama
46067,Drama
205456,Drama
31631,Drama
31631,Action & Adventure
39191,Drama
44807,Family
44807,Drama
31783,Reality
31783,Comedy
32815,Comedy
32815,Family
34971,Reality
32637,
38882,Comedy
33827,Documentary
36547,Talk
40400,Soap
40400,Drama
33951,Comedy
33951,Animation
33951,Family
78688,Comedy
95020,Animation
95020,Kids
106410,Comedy
106410,Family
106410,Talk
106410,Reality
36041,Animation
36041,Comedy
36041,Drama
61483,Family
61483,Animation
61483,Kids
56353,Animation
56353,Comedy
31585,Drama
31585,Crime
62064,Documentary
245485,Documentary
154280,
42410,Action & Adventure
42410,Animation
42410,Drama
42410,Mystery
97735,Family
97735,Drama
32420,Drama
47923,Drama
41974,Comedy
41974,Animation
41392,Drama
41392,Mystery
41392,Crime
60767,Action & Adventure
60767,Reality
37679,Drama
32446,Drama
45039,Animation
45039,Kids
45039,Comedy
45039,Family
32537,Documentary
32537,News
33155,Drama
33835,Animation
33835,Family
33835,Kids
33835,Comedy
67983,Talk
67983,News
67983,Comedy
31203,Reality
39892,Family
39892,Drama
39892,War & Politics
99025,Family
99025,Drama
32014,Sci-Fi & Fantasy
32014,Drama
92250,News
92250,Documentary
31623,Animation
31623,Sci-Fi & Fantasy
31623,Family
31623,Action & Adventure
31623,Kids
32709,Comedy
32709,Drama
33852,Sci-Fi & Fantasy
33852,Drama
87395,
65648,Animation
65648,Comedy
31941,Comedy
36901,Drama
36901,Family
37851,Animation
37851,Action & Adventure
37851,Sci-Fi & Fantasy
38122,Documentary
104885,Talk
54999,Comedy
54999,Drama
54999,Family
57129,Action & Adventure
57129,Reality
85267,Comedy
1426,Crime
1426,Drama
1426,Mystery
31983,Comedy
31983,Drama
38883,Drama
38112,Animation
38112,Action & Adventure
38112,Sci-Fi & Fantasy
38112,Comedy
46579,Mystery
55273,Talk
55273,Reality
33428,Animation
33428,Comedy
129039,Drama
34277,Comedy
34277,Drama
34319,Drama
32955,Drama
32955,Soap
32058,Documentary
37372,
5559,Animation
5559,Comedy
5559,Kids
34367,Comedy
34367,Drama
39290,Reality
29009,Documentary
29009,Reality
117904,Reality
60125,Documentary
34984,Soap
31389,Comedy
31389,Drama
34014,Comedy
34014,Documentary
31808,Drama
31808,Crime
45998,Animation
45998,Comedy
32962,Comedy
32962,Drama
31499,Animation
31499,Comedy
31499,Kids
31162,Drama
56343,Animation
56343,Comedy
56343,Sci-Fi & Fantasy
34335,Comedy
34335,Drama
249965,Family
249965,Comedy
55858,Comedy
40199,Drama
36697,Animation
36697,Comedy
42408,Animation
42408,Comedy
79276,Action & Adventure
79276,Drama
62466,Family
62466,Comedy
62466,Drama
45412,Drama
37636,Comedy
37636,Drama
37636,Sci-Fi & Fantasy
42413,Action & Adventure
42413,Animation
42413,Comedy
42413,Sci-Fi & Fantasy
16997,Drama
16997,Action & Adventure
16997,War & Politics
34481,Reality
40755,Family
40755,Kids
33828,Drama
33091,Crime
33091,Drama
33091,Action & Adventure
201828,
46153,Animation
46153,Comedy
42981,Animation
42981,Action & Adventure
42981,Comedy
42981,Sci-Fi & Fantasy
42981,Family
42981,Kids
115974,Talk
131107,
242348,Action & Adventure
242348,Drama
242348,War & Politics
242348,Sci-Fi & Fantasy
241567,Soap
42421,Animation
42421,Comedy
42421,Action & Adventure
42421,Sci-Fi & Fantasy
38599,Comedy
38599,Reality
32595,Reality
33767,Reality
34408,Comedy
37919,
32406,Comedy
32406,Drama
35532,Animation
35532,Comedy
40841,Crime
56998,Animation
56998,Action & Adventure
56998,Drama
56998,Sci-Fi & Fantasy
245309,Documentary
60780,Reality
59254,Drama
59254,Soap
33234,Drama
37471,Animation
37471,Sci-Fi & Fantasy
37471,Action & Adventure
42942,Animation
42942,Comedy
42942,Drama
42942,Sci-Fi & Fantasy
42942,Action & Adventure
31616,Drama
46099,Drama
40127,Soap
40127,Drama
40127,Mystery
40395,Drama
40395,Crime
40395,Mystery
45410,Action & Adventure
33268,Drama
35278,Drama
214808,Drama
214808,Family
52083,Animation
52083,Comedy
52083,Drama
31885,Drama
31885,Family
39008,Drama
107148,Mystery
107148,Drama
34449,Animation
34449,Kids
34449,Comedy
34449,Family
63977,Animation
63977,Kids
32624,Sci-Fi & Fantasy
32624,Drama
45472,Drama
42552,Mystery
42552,Crime
38084,Animation
38084,Comedy
38084,Drama
38084,Unknown
38084,Sci-Fi & Fantasy
131232,
32916,Soap
59164,Drama
59164,Family
203995,
54583,Comedy
54583,Action & Adventure
54583,Drama
78013,Mystery
78013,Crime
48513,Drama
248329,Comedy
83855,Drama
32037,Animation
32037,Kids
32037,Family
31874,Drama
55271,Comedy
55271,Family
37544,Reality
87144,Drama
89294,Family
89294,Drama
220483,Animation
220483,Action & Adventure
220483,Sci-Fi & Fantasy
220483,Kids
87678,Comedy
33059,Comedy
49482,Drama
128055,Animation
128055,Kids
31561,Drama
45099,Reality
42445,Drama
230499,Mystery
230499,Drama
34517,Reality
32632,Crime
32632,Drama
37012,Reality
41761,Drama
38167,Comedy
38167,Drama
88303,Crime
40484,Drama
40484,Family
233025,
37016,Comedy
37016,Drama
86344,Drama
86344,Action & Adventure
87437,Drama
32789,Reality
33824,
7767,Drama
262250,Action & Adventure
262250,Drama
262250,Sci-Fi & Fantasy
262250,Kids
76533,Action & Adventure
76533,Animation
76533,Comedy
76533,Drama
76533,Family
76533,Kids
76533,Sci-Fi & Fantasy
52017,
48927,Comedy
33309,Reality
33309,Talk
35447,Animation
35447,Comedy
35447,Sci-Fi & Fantasy
38476,Comedy
215655,
7038,Comedy
7038,Documentary
86460,Drama
86460,War & Politics
31853,Drama
123521,Action & Adventure
123521,Animation
66850,Documentary
31634,Drama
31634,Crime
49058,Drama
49058,Mystery
70859,Drama
