genres,count,avg_rating,min_popularity,max_popularity,avg_popularity,min_vote_average,max_vote_average,avg_vote_average,avg_budget,avg_revenue,revenue_to_budget_ratio
Drama,6910,6.160090448625181,3.86,1780.289,16.71985962373372,6.160090448625181,10.0,6.160090448625181,6039071.527496382,14420362.301013025,2.3878442630387715
Comedy,4533,6.073928082947276,3.896,2402.503,19.418328480035296,6.073928082947276,10.0,6.073928082947276,9227067.043900287,27626008.254136335,2.9940183725443923
Thriller,3769,5.843898912178297,3.863,3876.006,24.490539665693817,5.843898912178297,10.0,5.843898912178297,8134910.50225524,19820547.27566994,2.436480065782542
Action,3239,6.073125656066687,3.896,3320.616,32.21445754862612,6.073125656066687,10.0,6.073125656066687,20868528.90737882,56724818.83297314,2.7181992120640586
Romance,2571,5.957180085569817,3.883,3876.006,19.166187475690393,5.957180085569817,10.0,5.957180085569817,4620281.507195644,13334911.10462855,2.8861685340732395
Horror,2425,5.43684824742268,3.874,1283.362,21.44715175257732,5.43684824742268,10.0,5.43684824742268,3375241.9863917525,10829764.029278351,3.2085889168662938
Adventure,1768,6.295424773755656,3.908,2643.627,35.46935407239819,6.295424773755656,10.0,6.295424773755656,35025771.455316745,108947812.58427602,3.1105042960513654
Crime,1738,6.182608170310702,3.863,3320.616,21.60059321058688,6.182608170310702,9.5,6.182608170310702,9819171.267548908,22343285.86018412,2.2754757251282287
Animation,1579,6.741792273590881,3.886,2643.627,28.6116409119696,6.741792273590881,10.0,6.741792273590881,12226296.012032932,47091922.59658011,3.851691677531197
Family,1472,6.473991847826087,3.908,2643.627,28.364883831521738,6.473991847826087,10.0,6.473991847826087,18318744.88722826,57712617.89673913,3.1504679088017697
Science Fiction,1454,5.940332187070152,3.906,3876.006,34.28880949105915,5.940332187070152,8.5,5.940332187070152,22941424.42090784,68000732.16368638,2.964102442641417
Fantasy,1450,6.296878620689656,3.89,641.679,25.23815517241379,6.296878620689656,10.0,6.296878620689656,20316755.866206896,58538581.129655175,2.881295690864854
Mystery,1242,6.014322866344605,3.863,434.123,17.42774154589372,6.014322866344605,10.0,6.014322866344605,6085675.156199678,17189655.15136876,2.8246093835385038
Documentary,916,6.094337336244541,3.871,443.998,11.136934497816595,6.094337336244541,10.0,6.094337336244541,302033.3307860262,1128874.8984716157,3.73758384723228
History,732,6.669564207650273,3.905,234.13,16.10071174863388,6.669564207650273,10.0,6.669564207650273,11337216.030054646,23379023.106557377,2.0621485067039593
TV Movie,628,6.222007961783439,3.863,150.299,10.443264331210191,6.222007961783439,9.0,6.222007961783439,548832.7324840764,82163.04140127389,0.14970506775241896
Music,488,6.530364754098361,3.92,263.61,14.913776639344261,6.530364754098361,10.0,6.530364754098361,7128129.543032787,20412319.6147541,2.8636291598692414
War,420,6.55367619047619,3.886,1780.289,22.301735714285712,6.55367619047619,8.5,6.55367619047619,11888414.692857143,28117409.67857143,2.365110101304346
Western,126,6.087674603174603,3.97,104.782,16.858396825396824,6.087674603174603,8.183,6.087674603174603,13133973.80952381,21049363.23015873,1.6026652356269548
